id,type,category,name,translation,file,sounds,error,ini
2036,PACENOTE,ADJECTIVES,OPENSATJUNCTION,Öffnet An Kreuzung,opens_at_junction.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2037,PACENOTE,ADJECTIVES,OPENSOVERCREST,Öffnet Über Kuppe,opens_overcrest.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2037,PACENOTE,ADJECTIVES,OPENSOVERCREST,Öffnet Über Kuppe,opens_overcrest.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2038,PACENOTE,ADDITIONAL,SCALEPLUS,Skala Plus,scale_plus.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
2038,PACENOTE,ADDITIONAL,SCALEPLUS,Skala Plus,scale_plus.ogg,2,,pacenotes/Rbr.ini/additional/Extended.ini
2039,PACENOTE,ADDITIONAL,SCALEMINUS,Skala Minus,scale_minus.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
2039,PACENOTE,ADDITIONAL,SCALEMINUS,Skala Minus,scale_minus.ogg,2,,pacenotes/Rbr.ini/additional/Extended.ini
2040,PACENOTE,CORNERS,ACUTE_LEFT,Spitz Links,acute_left.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2040,PACENOTE,CORNERS,ACUTE_LEFT,Spitz Links,acute_left.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2041,PACENOTE,CORNERS,ACUTE_RIGHT,Spitz Rechts,acute_right.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2041,PACENOTE,CORNERS,ACUTE_RIGHT,Spitz Rechts,acute_right.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2042,PACENOTE,ADJECTIVES,TIGHTENSEARLY,Verengt Früh,tightens_early.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2042,PACENOTE,ADJECTIVES,TIGHTENSEARLY,Verengt Früh,tightens_early.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2043,PACENOTE,ADJECTIVES,TIGHTENSLITTLE,Verengt Leicht,tightens_abit.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
