id,type,category,name,translation,file,sounds,error,ini,file_src_dir
-1,RANGE,EXTENDED,160,,160_1.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_2.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_3.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_4.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_1.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_2.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_3.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_4.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_1.ogg,4,,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_2.ogg,4,,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_3.ogg,4,,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_4.ogg,4,,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_1.ogg,4,,ranges/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_2.ogg,4,,ranges/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_3.ogg,4,,ranges/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,160,,160_4.ogg,4,,ranges/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_1.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_2.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_3.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_4.ogg,4,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_1.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_2.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_3.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_4.ogg,4,,ranges/Rbr.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
-1,RANGE,EXTENDED,180,,180_1.ogg,4,,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini,assets/Jannemod V3 - Public test_v1.1/English/English Numeric A/Plugins/Pacenote/sounds/Janne Laahanen EnNu A
