id,type,name,translation,file,sounds,ini
-1,PACENOTE,CAUTION_WATER,Vorsicht Wasser,caution_water.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/cautions/Extended.ini
-1,PACENOTE,CAUTION_WATER,Vorsicht Wasser,caution_water.ogg,1,pacenotes/Rbr.ini/cautions/Extended.ini
-1,PACENOTE,CAUTION_WATER,Vorsicht Wasser,caution_water.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/cautions/Extended.ini
-1,PACENOTE,CAUTION_WATER,Vorsicht Wasser,caution_water.ogg,1,pacenotes/Rbr-Enhanced.ini/cautions/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr.ini/line/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/line/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,CUT,Schneiden,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/line/Extended.ini
-1,PACENOTE,DISTANCE_CALL,Entfernung,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,DISTANCE_CALL,Entfernung,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,DISTANCE_CALL,Entfernung,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,DISTANCE_CALL,Entfernung,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr.ini/line/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/line/Extended.ini
